patch,type,scan_id,actual,pred
0,train,,0,0.49446142
0,train,,0,0.49456128
0,train,,0,0.4938382
0,train,,0,0.49449727
0,train,,0,0.49429423
0,train,,0,0.49449217
0,train,,0,0.4943492
0,train,,0,0.49453947
0,train,,0,0.49464405
0,train,,0,0.49393
0,train,,0,0.49371424
0,train,,0,0.49454823
0,train,,0,0.49447405
0,train,,0,0.49496397
0,train,,0,0.4941426
0,train,,0,0.49382854
0,train,,0,0.49506062
0,train,,0,0.49371275
0,train,,0,0.49490196
0,train,,0,0.49415645
0,train,,0,0.49438953
0,train,,0,0.4944393
0,train,,0,0.49455884
0,train,,0,0.49430972
0,train,,0,0.4949627
0,train,,0,0.49497193
0,train,,0,0.49440214
0,train,,0,0.49493098
0,train,,0,0.49384946
0,train,,0,0.49321982
0,train,,1,0.4945011
0,train,,1,0.49493158
0,train,,1,0.49407658
0,train,,1,0.49460065
0,train,,1,0.49468693
0,train,,1,0.49438348
0,train,,1,0.49393222
0,train,,1,0.4949919
0,train,,1,0.49496368
0,train,,1,0.4937153
0,train,,1,0.49482554
0,train,,1,0.49480316
0,train,,1,0.4941689
0,train,,1,0.4952487
0,train,,1,0.4943335
0,train,,1,0.49451154
0,train,,1,0.49476418
0,train,,1,0.49472788
0,train,,1,0.4951813
0,train,,1,0.49485198
0,train,,1,0.49489588
0,train,,1,0.49441484
0,train,,1,0.49458683
0,train,,1,0.49465448
0,train,,1,0.49375284
0,train,,1,0.49518692
0,train,,1,0.4947985
0,train,,1,0.49358097
0,train,,1,0.49463803
0,train,,1,0.49396276
0,val,,0,0.49469006
0,val,,0,0.4948653
0,val,,0,0.49357918
0,val,,0,0.49398556
0,val,,0,0.49430716
0,val,,0,0.49443546
0,val,,0,0.4945299
0,val,,0,0.49513143
0,val,,0,0.49430528
0,val,,0,0.49431187
0,val,,1,0.49433315
0,val,,1,0.49489355
0,val,,1,0.4938668
0,val,,1,0.49394903
0,val,,1,0.49501312
0,val,,1,0.4944075
0,val,,1,0.4948466
0,val,,1,0.49499717
0,val,,1,0.49520135
0,val,,1,0.4952507
0,test,,0,0.49388686
0,test,,0,0.4945185
0,test,,0,0.49366033
0,test,,0,0.4941643
0,test,,0,0.4943074
0,test,,0,0.49445948
0,test,,0,0.494972
0,test,,0,0.49438024
0,test,,0,0.4942333
0,test,,0,0.4934855
0,test,,1,0.49413037
0,test,,1,0.49446052
0,test,,1,0.49443862
0,test,,1,0.49527293
0,test,,1,0.49501482
0,test,,1,0.4950133
0,test,,1,0.49462417
0,test,,1,0.49434
0,test,,1,0.4951823
0,test,,1,0.49531013
1,train,,0,0.49035683
1,train,,0,0.49488607
1,train,,0,0.49270505
1,train,,0,0.4940452
1,train,,0,0.49382755
1,train,,0,0.49272636
1,train,,0,0.49029672
1,train,,0,0.4952472
1,train,,0,0.49236202
1,train,,0,0.49437526
1,train,,0,0.49445027
1,train,,0,0.4944255
1,train,,0,0.4927373
1,train,,0,0.49130568
1,train,,0,0.49275905
1,train,,0,0.49190375
1,train,,0,0.49143094
1,train,,0,0.49249995
1,train,,0,0.49334374
1,train,,0,0.4941979
1,train,,0,0.49366602
1,train,,0,0.49372286
1,train,,0,0.4948432
1,train,,0,0.49423343
1,train,,0,0.4924307
1,train,,0,0.4937412
1,train,,0,0.4930895
1,train,,0,0.4935533
1,train,,0,0.49064174
1,train,,0,0.49299097
1,train,,1,0.49372715
1,train,,1,0.49232134
1,train,,1,0.49376842
1,train,,1,0.49282867
1,train,,1,0.49369967
1,train,,1,0.49041647
1,train,,1,0.49054432
1,train,,1,0.49416408
1,train,,1,0.49179527
1,train,,1,0.49410045
1,train,,1,0.4936873
1,train,,1,0.49297288
1,train,,1,0.4937682
1,train,,1,0.49280143
1,train,,1,0.49439624
1,train,,1,0.4908627
1,train,,1,0.49193186
1,train,,1,0.49560767
1,train,,1,0.4929887
1,train,,1,0.493574
1,train,,1,0.49203926
1,train,,1,0.49171636
1,train,,1,0.49571323
1,train,,1,0.4943046
1,train,,1,0.4944926
1,train,,1,0.49325064
1,train,,1,0.495154
1,train,,1,0.49299228
1,train,,1,0.4931466
1,train,,1,0.4932407
1,val,,0,0.49420768
1,val,,0,0.4946539
1,val,,0,0.49120584
1,val,,0,0.49202392
1,val,,0,0.4906684
1,val,,0,0.49261704
1,val,,0,0.49375936
1,val,,0,0.49288982
1,val,,0,0.4919752
1,val,,0,0.49308798
1,val,,1,0.49203515
1,val,,1,0.49324414
1,val,,1,0.49408826
1,val,,1,0.490952
1,val,,1,0.49459854
1,val,,1,0.49171007
1,val,,1,0.4916588
1,val,,1,0.49236912
1,val,,1,0.494005
1,val,,1,0.49356982
1,test,,0,0.4914565
1,test,,0,0.4934516
1,test,,0,0.49240154
1,test,,0,0.49441856
1,test,,0,0.49374622
1,test,,0,0.49238813
1,test,,0,0.49362278
1,test,,0,0.49240085
1,test,,0,0.49232462
1,test,,0,0.49373686
1,test,,1,0.49470833
1,test,,1,0.49341375
1,test,,1,0.4949173
1,test,,1,0.493031
1,test,,1,0.4944954
1,test,,1,0.49332264
1,test,,1,0.49518394
1,test,,1,0.4935612
1,test,,1,0.4938369
1,test,,1,0.4941517
2,train,,0,0.07307698
2,train,,0,0.07307698
2,train,,0,0.07307698
2,train,,0,0.07307698
2,train,,0,0.07307698
2,train,,0,0.07307698
2,train,,0,0.07307698
2,train,,0,0.07307698
2,train,,0,0.07307698
2,train,,0,0.07307698
2,train,,0,0.705355
2,train,,0,0.74240583
2,train,,0,0.07307698
2,train,,0,0.07307698
2,train,,0,0.07307698
2,train,,0,0.07307698
2,train,,0,0.0731541
2,train,,0,0.07307698
2,train,,0,0.21367024
2,train,,0,0.07307698
2,train,,0,0.7424057
2,train,,0,0.07307698
2,train,,0,0.6678713
2,train,,0,0.07307698
2,train,,0,0.07307698
2,train,,0,0.07307698
2,train,,0,0.07307698
2,train,,0,0.07307698
2,train,,0,0.07307698
2,train,,0,0.07307698
2,train,,1,0.74240583
2,train,,1,0.28708318
2,train,,1,0.7077552
2,train,,1,0.07307698
2,train,,1,0.74240583
2,train,,1,0.1287388
2,train,,1,0.3389403
2,train,,1,0.74240583
2,train,,1,0.74240583
2,train,,1,0.74240583
2,train,,1,0.07307698
2,train,,1,0.073130906
2,train,,1,0.73147154
2,train,,1,0.07307698
2,train,,1,0.74240583
